Damaged_Parts,Severity,Cost_Repair_Euros
"Fender, Dickey, Door, Windshield, Bumper, Bonnet",moderate,594
"Fender, Light, Door",minor,87
"Bonnet, Door, Bumper",minor,99
"Bonnet, Bumper, Windshield",severe,423
"Dickey, Light, Fender, Windshield",moderate,280
"Bumper, Light, Dickey, Fender, Windshield, Bonnet, Door",minor,315
"Windshield, Dickey",moderate,172
"Dickey, Bonnet, Door, Bumper, Fender",severe,680
"Bumper, Bonnet, Door, Dickey, Light, Windshield",moderate,396
Door,moderate,86
"Fender, Windshield, Door, Bonnet",severe,476
"Bonnet, Windshield, Door, Dickey, Light, Fender",minor,270
"Light, Fender, Bumper",minor,114
"Bumper, Bonnet, Dickey, Door, Fender, Light",moderate,480
"Windshield, Bonnet, Fender",severe,339
"Fender, Windshield",minor,92
"Light, Door, Bumper, Windshield, Dickey, Fender",severe,600
"Dickey, Bumper",severe,246
"Bumper, Light, Dickey, Bonnet, Windshield, Fender",moderate,468
"Bumper, Door, Bonnet, Windshield, Dickey, Fender, Light",severe,735
"Windshield, Dickey, Fender, Bumper",moderate,384
Door,minor,44
"Door, Light",severe,270
"Bonnet, Light, Fender",severe,351
"Light, Bumper, Windshield, Bonnet, Fender, Door, Dickey",moderate,686
Door,minor,24
"Windshield, Bumper, Fender, Light, Dickey, Door, Bonnet",severe,749
"Dickey, Fender, Light, Windshield",minor,80
"Bumper, Windshield, Fender",severe,417
"Fender, Dickey, Bonnet, Door, Light",severe,660
"Bumper, Windshield",severe,294
"Windshield, Bonnet",severe,264
"Windshield, Door, Light, Bonnet, Dickey, Fender",moderate,492
"Windshield, Fender, Door, Bumper, Light, Dickey, Bonnet",moderate,364
"Light, Windshield, Door",minor,72
Bumper,severe,115
"Bonnet, Dickey, Light",moderate,231
"Door, Windshield, Fender, Bumper",moderate,304
"Windshield, Light, Bumper, Dickey",moderate,260
"Bonnet, Door, Bumper, Light, Fender",minor,235
"Fender, Light, Bonnet, Bumper",severe,576
"Dickey, Fender",minor,60
Light,moderate,87
"Windshield, Bumper, Fender, Door, Dickey, Light, Bonnet",severe,931
"Fender, Bonnet, Windshield, Light",moderate,264
"Door, Dickey, Bumper, Light, Bonnet, Fender, Windshield",minor,329
Door,severe,137
"Bumper, Windshield, Light, Dickey, Fender, Door",severe,732
"Windshield, Bumper, Bonnet, Door, Dickey, Fender, Light",severe,1015
"Windshield, Fender, Light, Door, Bonnet",moderate,330
"Fender, Dickey, Light, Windshield",severe,444
"Door, Bumper, Windshield, Fender, Bonnet, Dickey",severe,720
"Bonnet, Light",moderate,162
"Dickey, Bonnet, Light, Door, Windshield, Bumper, Fender",minor,343
"Bonnet, Windshield, Bumper, Light, Door, Fender",minor,264
"Bumper, Door, Bonnet, Windshield, Light, Fender, Dickey",minor,245
"Bonnet, Door, Windshield, Light, Fender",moderate,440
"Windshield, Light, Bumper",moderate,177
"Door, Light",severe,226
"Light, Dickey, Windshield, Bumper, Door, Fender, Bonnet",minor,203
"Dickey, Fender, Bumper, Door, Light, Bonnet",minor,234
"Bonnet, Bumper, Door, Fender, Light",severe,565
"Door, Dickey, Light, Windshield",minor,116
"Light, Door, Bumper, Bonnet",moderate,316
Windshield,minor,38
"Door, Bonnet",moderate,132
"Light, Bonnet",severe,280
"Bonnet, Bumper, Windshield, Dickey, Door, Light, Fender",moderate,427
"Windshield, Dickey",minor,56
"Fender, Windshield, Bumper, Door, Bonnet",minor,250
Light,moderate,79
"Light, Bonnet, Fender, Windshield, Dickey, Door",minor,300
"Door, Bonnet, Fender, Light, Bumper, Dickey",moderate,330
"Bumper, Bonnet, Windshield, Light, Door",severe,535
"Door, Fender, Windshield, Dickey, Light, Bonnet, Bumper",severe,847
"Fender, Light, Windshield, Bumper, Door",severe,740
"Fender, Windshield",minor,84
"Dickey, Door, Bonnet",severe,417
"Bumper, Dickey, Windshield, Bonnet, Fender, Light",minor,186
"Light, Bumper, Door, Dickey, Bonnet",severe,510
"Bonnet, Fender, Door",minor,84
"Light, Bumper, Door, Windshield, Dickey, Fender, Bonnet",moderate,539
"Door, Fender, Light",severe,309
"Fender, Door, Light, Dickey, Windshield, Bumper, Bonnet",minor,210
Bumper,moderate,90
"Door, Fender, Light, Bumper, Bonnet, Windshield, Dickey",severe,945
"Fender, Windshield, Light",severe,444
"Windshield, Door, Bonnet, Dickey, Light",severe,695
"Fender, Bumper, Windshield, Dickey",severe,400
"Light, Bonnet, Windshield, Door, Dickey, Bumper",moderate,540
"Dickey, Fender, Light, Bonnet, Windshield",minor,155
"Windshield, Fender, Bonnet, Door, Bumper, Dickey",moderate,318
Windshield,severe,117
"Windshield, Fender, Light, Bonnet, Door",minor,180
"Windshield, Light, Door, Bumper, Dickey, Fender, Bonnet",severe,952
"Door, Bumper",moderate,146
"Door, Dickey",moderate,120
"Dickey, Light, Windshield",severe,438
"Bonnet, Fender, Dickey, Bumper, Door",moderate,385
"Dickey, Door",severe,260
"Dickey, Light, Fender, Bonnet, Windshield, Bumper",severe,714
"Bumper, Fender",moderate,196
"Bumper, Fender, Windshield, Dickey, Door, Light",moderate,528
"Bonnet, Dickey",severe,220
"Door, Windshield, Fender",minor,105
"Fender, Bonnet",minor,74
Bumper,minor,21
"Windshield, Door, Fender, Dickey",minor,128
"Bumper, Bonnet, Windshield",severe,450
"Bonnet, Door, Fender, Windshield, Dickey, Bumper, Light",severe,840
Windshield,severe,131
"Fender, Light, Bonnet, Windshield",minor,128
"Door, Light",moderate,188
"Dickey, Light, Bonnet, Fender",severe,504
"Bonnet, Light, Dickey, Fender, Bumper, Windshield, Door",minor,231
"Fender, Door, Bumper",minor,72
Bonnet,moderate,72
Windshield,moderate,93
"Dickey, Bumper, Bonnet, Windshield",moderate,300
"Bonnet, Door, Light",moderate,297
"Dickey, Door, Bumper, Light",moderate,240
Bumper,severe,105
"Windshield, Bumper, Door, Dickey, Bonnet, Light",minor,120
"Fender, Bumper, Dickey, Windshield, Bonnet, Light",moderate,306
"Light, Windshield, Door, Dickey, Fender",severe,700
"Bonnet, Door, Light",severe,426
"Fender, Bumper, Light, Dickey, Windshield",severe,505
Windshield,moderate,59
"Bonnet, Fender, Bumper, Light, Dickey, Windshield",minor,174
"Fender, Light, Dickey",minor,144
"Dickey, Light, Bumper, Fender, Bonnet, Windshield",minor,204
"Light, Bumper, Dickey, Door, Fender, Bonnet",moderate,522
"Light, Dickey, Bumper, Bonnet, Fender, Door",severe,636
"Door, Light, Fender, Dickey",severe,484
"Door, Dickey",severe,290
"Bonnet, Dickey, Bumper, Door",minor,100
"Bumper, Dickey",severe,256
"Dickey, Light",severe,210
"Bumper, Door",moderate,150
"Dickey, Windshield, Fender, Bumper, Bonnet, Light",moderate,462
"Door, Windshield, Dickey",severe,339
"Fender, Door, Bumper, Windshield, Dickey, Bonnet",severe,720
"Fender, Dickey, Light",minor,135
Windshield,severe,148
"Windshield, Bonnet, Fender, Door, Light, Bumper, Dickey",moderate,651
"Dickey, Bumper, Windshield",moderate,288
"Bonnet, Light, Windshield, Fender, Door",moderate,330
"Door, Dickey",moderate,102
"Windshield, Bonnet, Bumper, Fender, Door",moderate,415
"Windshield, Light, Bonnet, Bumper, Door, Dickey, Fender",severe,798
"Bonnet, Light",moderate,126
"Bumper, Dickey, Light, Fender, Bonnet, Windshield",severe,810
"Bumper, Bonnet, Light, Door, Dickey, Fender, Windshield",minor,287
"Dickey, Fender, Bonnet, Light",severe,504
"Door, Dickey, Light, Bumper, Bonnet, Fender, Windshield",severe,945
"Windshield, Light, Dickey",minor,63
"Bonnet, Fender, Light, Windshield",minor,200
"Windshield, Bonnet, Dickey, Bumper, Fender, Door",minor,210
Bumper,moderate,82
"Fender, Light, Door, Bonnet",moderate,328
"Dickey, Windshield, Door, Light, Fender, Bumper",moderate,360
"Dickey, Windshield, Bumper, Fender, Bonnet, Light, Door",severe,791
"Fender, Bumper, Door, Light, Bonnet, Windshield, Dickey",severe,819
Bonnet,severe,129
"Bumper, Bonnet, Windshield, Door, Dickey, Fender, Light",minor,336
"Fender, Dickey, Light, Door",moderate,276
"Bonnet, Bumper, Dickey, Windshield",severe,400
"Bonnet, Windshield, Light, Fender, Bumper",severe,585
"Fender, Bumper, Light, Bonnet, Dickey, Door",severe,786
"Fender, Bumper",moderate,162
"Windshield, Bonnet",minor,76
"Fender, Dickey, Bonnet",moderate,240
Dickey,minor,32
"Door, Bumper, Fender, Windshield, Light",moderate,445
"Door, Windshield, Dickey, Bonnet, Bumper, Light, Fender",minor,161
"Light, Door, Dickey, Windshield, Fender, Bonnet, Bumper",moderate,672
"Door, Light, Windshield, Bonnet, Bumper",moderate,490
"Dickey, Bumper, Windshield, Bonnet, Light, Fender",minor,126
"Windshield, Dickey, Door, Bumper, Light, Fender",moderate,474
"Windshield, Light, Dickey, Fender, Bonnet, Door, Bumper",minor,266
"Dickey, Light, Windshield, Bonnet",moderate,344
"Light, Fender",severe,228
Light,minor,45
"Light, Fender, Door, Dickey, Bumper, Bonnet",moderate,546
"Fender, Bumper, Bonnet",moderate,237
"Door, Bumper, Dickey",severe,441
"Windshield, Dickey, Bonnet, Light, Fender",severe,535
"Fender, Bonnet, Dickey, Bumper, Light, Door",severe,630
"Dickey, Light, Bumper, Door",severe,436
"Bonnet, Dickey, Windshield, Door",severe,484
"Door, Fender",moderate,186
"Light, Dickey, Windshield, Bonnet, Door, Bumper",moderate,468
"Bonnet, Fender, Bumper, Light",minor,132
"Fender, Windshield, Dickey",minor,66
"Fender, Windshield",minor,84
"Windshield, Bonnet, Light, Fender, Bumper",minor,205
"Door, Fender",severe,280
"Fender, Dickey, Bonnet, Light, Bumper, Windshield",moderate,432
"Windshield, Fender, Dickey, Light, Bonnet, Bumper",moderate,306
"Dickey, Door, Light",severe,390
"Windshield, Fender, Dickey, Light, Bonnet",moderate,300
"Windshield, Bonnet, Door",minor,132
Door,minor,49
"Light, Bonnet, Fender, Dickey",minor,140
"Bumper, Fender",moderate,170
"Door, Bonnet, Fender",severe,321
"Dickey, Bonnet, Fender, Windshield",minor,124
"Bonnet, Door, Light",minor,60
"Windshield, Light, Bonnet, Bumper, Fender",moderate,365
"Windshield, Bonnet, Dickey, Door, Fender, Bumper, Light",minor,154
"Bumper, Light, Bonnet, Dickey, Fender",severe,570
"Windshield, Fender, Dickey, Bonnet, Bumper",severe,750
"Windshield, Dickey, Fender, Light, Bumper, Door",moderate,300
"Fender, Dickey, Bumper, Door, Light, Windshield, Bonnet",severe,1015
"Fender, Door, Light, Bonnet",minor,96
"Dickey, Fender",minor,62
"Light, Bumper, Door, Fender, Bonnet",severe,750
"Bonnet, Door, Light",severe,417
Light,minor,40
"Fender, Dickey, Door, Bumper",moderate,208
"Windshield, Light, Fender",moderate,171
"Windshield, Door",minor,86
"Windshield, Bumper, Bonnet, Fender, Dickey, Door",minor,222
"Bumper, Dickey, Bonnet, Windshield, Door, Fender, Light",severe,952
Door,moderate,51
"Bonnet, Fender, Windshield, Dickey",severe,544
"Dickey, Windshield, Bonnet, Bumper, Door, Light",severe,654
"Dickey, Light, Bonnet, Fender, Door, Bumper",moderate,408
Windshield,minor,20
Door,moderate,75
"Windshield, Door, Fender, Bonnet",moderate,312
"Dickey, Bonnet, Bumper, Windshield, Fender, Light, Door",severe,861
"Windshield, Bumper, Door",severe,300
"Fender, Light, Door",moderate,261
"Fender, Light, Bumper, Windshield",moderate,240
"Dickey, Light, Windshield",moderate,222
"Fender, Windshield, Bonnet, Light",moderate,296
"Bonnet, Dickey, Fender",moderate,195
"Light, Windshield, Fender, Door",minor,92
"Windshield, Door",minor,62
"Light, Bumper",severe,278
"Door, Bumper, Windshield, Dickey, Light, Fender",moderate,594
"Light, Door, Windshield, Bonnet",minor,180
"Light, Fender, Door, Bonnet, Windshield, Bumper, Dickey",moderate,357
"Bonnet, Windshield, Bumper, Door, Light, Fender, Dickey",minor,266
"Bonnet, Fender",moderate,142
"Light, Bonnet, Bumper, Door, Dickey, Windshield, Fender",moderate,385
"Windshield, Dickey, Bumper, Light",minor,184
"Door, Light, Fender",moderate,219
"Door, Fender, Windshield, Bumper, Dickey",moderate,365
"Fender, Windshield, Bumper, Light, Door",severe,750
"Bonnet, Light, Dickey",moderate,192
"Bumper, Dickey, Fender, Windshield, Door",minor,225
"Door, Fender, Bumper, Dickey, Windshield, Light, Bonnet",moderate,525
"Fender, Windshield",severe,204
"Light, Dickey, Bumper, Door, Bonnet, Fender, Windshield",severe,700
"Light, Windshield",minor,90
"Dickey, Fender, Light",minor,81
"Dickey, Light",severe,244
"Light, Dickey, Door",severe,411
"Bonnet, Fender",moderate,156
"Bonnet, Windshield, Bumper",minor,99
Door,moderate,60
Dickey,minor,48
"Bonnet, Door, Windshield, Dickey, Fender",severe,715
"Bonnet, Fender, Bumper, Dickey, Door",moderate,450
"Bonnet, Light",minor,58
"Bonnet, Windshield, Light, Dickey, Bumper, Door, Fender",moderate,686
"Light, Windshield, Bonnet, Dickey",moderate,296
"Bumper, Light, Fender, Bonnet",severe,476
Bumper,severe,139
"Fender, Windshield, Dickey, Light, Bonnet, Door",severe,822
Windshield,severe,129
"Bumper, Windshield, Fender",moderate,300
"Fender, Door, Dickey",moderate,216
"Light, Bumper, Dickey, Door, Fender",minor,185
"Windshield, Door, Bonnet, Light, Fender",severe,555
"Dickey, Fender",moderate,150
Light,severe,129
"Bumper, Light, Windshield, Bonnet, Dickey",minor,230
"Door, Bonnet, Bumper, Light",moderate,376
"Dickey, Windshield, Door",severe,348
"Bonnet, Fender, Windshield",moderate,189
"Light, Fender, Bonnet, Dickey",moderate,384
"Door, Bumper, Fender, Bonnet, Windshield, Light, Dickey",severe,819
"Windshield, Light, Dickey, Bonnet, Bumper, Fender",minor,252
"Dickey, Windshield, Light, Bumper, Door, Fender",severe,804
"Windshield, Bonnet, Fender, Light, Bumper, Dickey, Door",severe,987
"Windshield, Light, Bonnet, Dickey, Fender",severe,635
"Bonnet, Light, Windshield, Bumper, Door, Fender, Dickey",minor,343
"Fender, Bonnet",minor,60
"Light, Windshield",severe,212
Bonnet,severe,125
"Bumper, Bonnet, Fender, Windshield, Light, Door, Dickey",severe,791
"Dickey, Bonnet, Door, Light",severe,532
"Bumper, Light, Fender, Bonnet, Dickey",moderate,485
"Bonnet, Dickey, Fender, Bumper, Windshield, Light, Door",moderate,693
"Windshield, Fender, Bumper, Door, Light",severe,710
"Windshield, Fender, Bumper, Dickey, Light",minor,150
"Light, Dickey, Windshield, Fender, Bonnet, Door",severe,744
"Light, Bonnet, Door, Dickey, Fender",minor,235
"Bumper, Bonnet, Windshield, Dickey, Door, Light",severe,684
Light,moderate,53
"Door, Dickey, Bumper, Fender, Light, Bonnet",severe,654
"Bumper, Bonnet",severe,260
"Bumper, Bonnet",severe,226
"Bonnet, Fender, Windshield, Light, Door, Dickey, Bumper",severe,1050
"Bumper, Light, Door, Fender, Bonnet, Dickey",moderate,492
"Light, Bumper, Bonnet, Dickey, Fender",moderate,320
"Bonnet, Bumper, Windshield",minor,78
"Bonnet, Door, Dickey",moderate,201
"Windshield, Dickey, Bumper, Light, Fender",minor,185
"Light, Fender, Bumper, Door, Bonnet",moderate,490
Fender,moderate,66
"Door, Light, Bonnet, Fender",severe,504
"Windshield, Door",moderate,178
"Door, Fender",minor,78
"Bumper, Door, Dickey, Windshield, Fender, Bonnet",severe,816
"Dickey, Door, Fender, Bonnet, Light",moderate,370
"Light, Bonnet, Door",moderate,294
"Windshield, Light",moderate,120
"Light, Windshield, Bonnet, Fender",moderate,244
"Light, Fender, Windshield, Bumper",minor,88
"Door, Bonnet",moderate,174
"Light, Windshield, Bumper, Dickey, Door, Bonnet, Fender",moderate,525
"Fender, Bonnet, Door, Light, Windshield, Dickey, Bumper",severe,861
"Bonnet, Door, Bumper",minor,126
"Bonnet, Windshield",severe,252
"Bumper, Dickey, Bonnet, Fender, Windshield, Light, Door",severe,896
"Bonnet, Bumper",severe,236
"Fender, Bonnet",moderate,192
"Light, Windshield, Bumper, Fender, Bonnet, Door",minor,120
Bumper,minor,46
Light,severe,127
"Fender, Door, Dickey, Bumper, Windshield, Bonnet",minor,264
"Fender, Light, Bumper, Dickey, Door",severe,510
"Door, Bonnet",minor,50
"Bonnet, Door, Dickey, Bumper",moderate,304
"Dickey, Bonnet, Bumper, Fender, Light",moderate,485
"Bonnet, Door, Light, Bumper, Fender, Windshield, Dickey",minor,308
Door,moderate,68
"Light, Dickey, Windshield",severe,321
"Fender, Light, Bumper, Bonnet, Dickey, Windshield",minor,234
"Fender, Dickey, Light, Bonnet",severe,476
"Light, Bonnet, Door, Dickey, Fender, Windshield, Bumper",minor,287
Dickey,severe,141
"Bonnet, Light",moderate,196
"Light, Fender, Dickey, Bumper",severe,552
"Fender, Door, Light, Dickey, Bumper",moderate,255
"Dickey, Light, Door",moderate,207
"Bonnet, Light, Door, Dickey, Bumper, Windshield",minor,150
"Bonnet, Door, Fender, Bumper, Dickey, Windshield",minor,216
"Bumper, Dickey",moderate,158
"Light, Door, Bumper, Windshield, Bonnet, Fender, Dickey",minor,343
"Door, Bumper, Windshield, Dickey",minor,156
"Dickey, Fender",moderate,104
"Windshield, Bonnet, Fender, Dickey, Light, Bumper, Door",severe,700
"Door, Bonnet, Fender, Windshield, Dickey, Light, Bumper",severe,966
"Fender, Bumper, Door, Dickey",severe,492
"Windshield, Dickey, Bumper",minor,126
Light,severe,123
"Bonnet, Door, Dickey",moderate,168
"Fender, Bumper, Windshield, Light",severe,464
"Door, Windshield",severe,228
"Fender, Door, Bonnet, Windshield",minor,152
"Bumper, Door, Fender, Light, Bonnet, Windshield, Dickey",moderate,455
"Door, Light, Fender, Windshield, Bonnet, Bumper",severe,744
"Bonnet, Light",moderate,106
"Windshield, Dickey, Light, Bonnet, Fender, Bumper, Door",severe,903
Windshield,minor,45
"Dickey, Door, Bumper, Fender, Windshield, Bonnet",moderate,390
Fender,minor,34
"Light, Bonnet, Dickey",moderate,168
"Dickey, Fender",minor,74
"Fender, Light, Bonnet, Windshield",severe,460
"Fender, Bonnet, Light, Bumper",minor,120
Light,moderate,67
Light,moderate,68
"Bumper, Fender, Windshield, Door, Light",minor,165
"Door, Bumper, Windshield, Dickey, Fender, Light",moderate,426
"Door, Fender, Windshield, Dickey, Light, Bonnet",severe,816
"Light, Door, Dickey, Windshield, Bonnet",moderate,385
Door,moderate,61
"Fender, Windshield, Dickey, Light, Door",moderate,255
"Door, Fender, Windshield",moderate,291
"Windshield, Dickey, Bumper, Light",severe,432
"Dickey, Windshield",minor,56
"Windshield, Bumper",minor,50
"Door, Bumper, Dickey, Fender",moderate,288
"Bumper, Door, Windshield, Bonnet, Light, Dickey, Fender",severe,700
"Bonnet, Dickey, Windshield, Bumper, Light, Door",severe,642
"Fender, Bumper",severe,240
"Windshield, Door",severe,206
"Bonnet, Fender, Bumper, Dickey, Windshield",minor,115
"Dickey, Bonnet",severe,222
Bonnet,minor,45
"Door, Fender, Windshield, Bumper, Bonnet",moderate,355
"Windshield, Fender, Door",minor,111
"Fender, Dickey, Windshield, Bumper, Bonnet",severe,710
Bumper,minor,48
"Windshield, Door, Bonnet, Dickey, Light, Bumper",moderate,336
"Windshield, Door, Dickey, Bonnet",minor,108
"Door, Bonnet, Fender",minor,60
"Dickey, Door",severe,254
"Windshield, Fender, Bonnet, Door, Light, Bumper",minor,258
"Door, Bonnet, Fender, Windshield, Bumper, Light",moderate,342
"Light, Fender, Windshield, Bumper, Bonnet, Dickey",moderate,594
"Dickey, Light, Door, Fender, Bumper, Windshield",moderate,480
"Windshield, Light, Bumper, Bonnet, Door, Fender, Dickey",minor,350
"Windshield, Fender, Bumper, Light, Door, Bonnet, Dickey",minor,217
"Bonnet, Dickey, Bumper, Light",severe,572
"Door, Bonnet, Bumper",minor,72
"Dickey, Bonnet, Light",moderate,192
"Light, Windshield, Door, Dickey",moderate,376
"Door, Bonnet, Fender, Windshield, Bumper, Light",moderate,408
"Windshield, Dickey, Bumper, Bonnet, Light",minor,155
"Windshield, Light, Dickey, Fender",minor,180
"Bonnet, Light, Bumper, Door, Windshield, Fender",moderate,384
"Fender, Windshield, Door, Dickey, Bonnet",minor,125
Bumper,minor,41
"Light, Windshield, Door, Fender, Bumper, Dickey",severe,606
"Bumper, Door, Dickey, Light, Bonnet, Windshield",severe,888
"Door, Bumper, Bonnet, Light",minor,108
"Fender, Bonnet, Light, Dickey, Windshield, Bumper, Door",moderate,518
"Light, Bumper, Door, Windshield",moderate,216
"Light, Bumper",minor,40
"Door, Windshield, Dickey, Fender, Light, Bonnet, Bumper",severe,1050
"Fender, Light, Windshield, Dickey, Door",severe,505
"Dickey, Bonnet",moderate,182
"Dickey, Fender, Door, Light, Bumper",severe,640
"Light, Bonnet",moderate,160
"Fender, Light, Door, Dickey, Bonnet, Bumper",minor,132
"Bumper, Fender, Windshield, Bonnet, Door, Light",severe,744
"Fender, Door, Light, Dickey, Bonnet, Bumper",moderate,306
"Bumper, Bonnet, Door, Windshield, Dickey, Fender, Light",minor,238
"Fender, Light, Bumper",severe,435
"Bumper, Door, Windshield, Dickey",minor,188
"Dickey, Light, Bumper, Fender, Windshield, Bonnet, Door",moderate,560
"Windshield, Dickey, Bonnet, Light, Bumper, Door",severe,816
"Windshield, Bonnet, Light, Bumper, Door, Dickey",moderate,414
"Windshield, Bonnet, Fender",moderate,171
"Windshield, Dickey, Fender, Bonnet, Bumper, Light",minor,138
"Light, Door, Windshield, Dickey, Bumper, Bonnet, Fender",minor,329
Bumper,minor,41
"Windshield, Bonnet, Light, Dickey",moderate,304
"Light, Bumper, Bonnet, Fender, Dickey, Windshield, Door",severe,826
"Door, Light, Bumper",minor,63
"Door, Bonnet",moderate,188
"Fender, Bonnet, Windshield, Dickey, Door, Light",minor,270
"Dickey, Door, Bumper",moderate,162
"Bonnet, Bumper, Fender, Dickey, Door",severe,650
"Light, Windshield, Dickey, Fender, Door",moderate,280
"Fender, Windshield, Door, Light, Bonnet, Bumper, Dickey",moderate,518
Fender,moderate,59
"Windshield, Light, Fender, Bumper, Dickey, Door, Bonnet",minor,308
"Bonnet, Dickey, Windshield",severe,381
"Bumper, Dickey, Windshield, Bonnet",moderate,308
"Bumper, Bonnet, Light, Dickey",severe,416
Dickey,moderate,83
"Fender, Bumper, Bonnet",minor,78
"Light, Windshield, Door, Fender, Bumper, Dickey",moderate,600
"Windshield, Bonnet, Dickey, Door, Light",moderate,355
"Door, Light, Bonnet, Bumper, Fender",severe,615
"Bumper, Light, Door, Fender, Windshield, Bonnet",minor,132
"Door, Light, Fender",minor,63
"Bonnet, Windshield, Light, Door",severe,412
"Fender, Windshield, Dickey, Light, Bumper, Bonnet",minor,138
"Fender, Bonnet, Door",severe,330
"Dickey, Bonnet, Door, Fender, Windshield",minor,130
Dickey,moderate,93
Door,severe,129
"Fender, Bumper, Door, Light, Dickey",moderate,365
"Door, Bonnet, Fender, Bumper",minor,84
Light,moderate,80
"Dickey, Bonnet, Fender, Light, Bumper, Windshield, Door",moderate,532
"Fender, Bumper, Dickey, Door, Light, Bonnet",severe,864
Fender,moderate,67
"Dickey, Light, Windshield, Bumper",severe,504
"Fender, Door, Windshield, Dickey",severe,412
"Bonnet, Windshield, Bumper",minor,60
"Windshield, Dickey, Door, Bonnet",minor,188
"Bumper, Fender, Door, Dickey, Bonnet, Light, Windshield",minor,350
"Windshield, Light, Bumper, Bonnet, Door",minor,225
"Light, Windshield, Fender",moderate,162
"Bonnet, Light, Bumper, Windshield",moderate,336
"Light, Bumper, Fender, Dickey, Bonnet, Windshield, Door",moderate,434
"Door, Bonnet, Dickey, Bumper, Light",severe,660
"Dickey, Fender",minor,56
"Light, Door",moderate,160
"Windshield, Door, Dickey, Fender",severe,448
"Bonnet, Dickey, Light, Fender",moderate,392
"Door, Windshield, Light, Dickey, Fender, Bumper",severe,876
"Door, Light",moderate,140
"Light, Dickey",severe,274
"Bonnet, Fender, Bumper, Dickey, Light",severe,640
"Fender, Door, Bonnet, Bumper",minor,112
Door,moderate,87
"Bonnet, Dickey, Door, Light, Fender",severe,570
"Door, Bonnet, Bumper, Fender, Dickey, Windshield, Light",moderate,532
"Bonnet, Fender, Windshield, Dickey, Light, Bumper, Door",minor,217
"Bonnet, Windshield, Light, Bumper, Door, Dickey",moderate,408
"Door, Dickey, Windshield",severe,354
"Bonnet, Bumper",minor,80
